49,New Orleans, Louisiana,393292,343829,0.1439,169.4 sq mi,438.7 km2,"2,311/sq mi",892/km2
50,Wichita, Kansas,390591,382368,0.0215,160.4 sq mi,415.4 km2,"2,431/sq mi",939/km2
51,Cleveland, Ohio,385525,396815,?2.85%,77.7 sq mi,201.2 km2,"4,965/sq mi","1,917/km2"
52,Tampa, Florida,385430,335709,0.1481,113.4 sq mi,293.7 km2,"3,326/sq mi","1,284/km2"
53,Bakersfield, California,380874,347483,0.0961,148.8 sq mi,385.4 km2,"2,529/sq mi",976/km2
54,Aurora, Colorado,366623,325078,0.1278,153.5 sq mi,397.6 km2,"2,356/sq mi",910/km2
55,Anaheim, California,352497,336265,0.0483,50.0 sq mi,129.5 km2,"7,021/sq mi","2,711/km2"
56,Honolulu, Hawaii,350395,337256,0.039,60.5 sq mi,156.7 km2,"5,815/sq mi","2,245/km2"
57,Santa Ana, California,334136,324528,0.0296,27.1 sq mi,70.2 km2,"12,333/sq mi","4,762/km2"
58,Riverside, California,327728,303871,0.0785,81.2 sq mi,210.3 km2,"3,999/sq mi","1,544/km2"
59,Corpus Christi, Texas,325605,305215,0.0668,174.6 sq mi,452.2 km2,"1,866/sq mi",720/km2
60,Lexington, Kentucky,321959,295803,0.0884,283.6 sq mi,734.5 km2,"1,123/sq mi",434/km2
61,Stockton, California,310496,291707,0.0644,61.7 sq mi,159.8 km2,"4,977/sq mi","1,922/km2"
62,St. Louis, Missouri,308626,319294,?3.34%,62.0 sq mi,160.6 km2,"5,023/sq mi","1,939/km2"
63,Saint Paul, Minnesota,306621,285068,0.0756,52.0 sq mi,134.7 km2,"5,815/sq mi","2,245/km2"
64,Henderson, Nevada,302539,257729,0.1739,104.7 sq mi,271.2 km2,"2,798/sq mi","1,080/km2"
65,Pittsburgh, Pennsylvania,302407,305704,?1.08%,55.4 sq mi,143.5 km2,"5,481/sq mi","2,116/km2"
66,Cincinnati, Ohio,301301,296943,0.0147,77.4 sq mi,200.5 km2,"3,860/sq mi","1,490/km2"
67,Anchorage, Alaska,294356,291826,0.0087,"1,706.6 sq mi","4,420.1 km2",175/sq mi,68/km2
68,Greensboro, North Carolina,290222,269666,0.0762,128.3 sq mi,332.3 km2,"2,237/sq mi",864/km2
69,Plano, Texas,286143,259841,0.1012,71.7 sq mi,185.7 km2,"3,990/sq mi","1,540/km2"
70,Newark, New Jersey,285154,277140,0.0289,24.1 sq mi,62.4 km2,"11,691/sq mi","4,514/km2"
71,Lincoln, Nebraska,284736,258379,0.102,92.1 sq mi,238.5 km2,"3,044/sq mi","1,175/km2"
72,Orlando, Florida,280257,238300,0.1761,105.2 sq mi,272.5 km2,"2,635/sq mi","1,017/km2"
73,Irvine, California,277453,212375,0.3064,65.6 sq mi,169.9 km2,"4,057/sq mi","1,566/km2"
74,Toledo, Ohio,276491,287208,?3.73%,80.7 sq mi,209.0 km2,"3,451/sq mi","1,332/km2"
75,Jersey City, New Jersey,270753,247597,0.0935,14.8 sq mi,38.3 km2,"17,848/sq mi","6,891/km2"
76,Chula Vista, California,270471,243916,0.1089,49.6 sq mi,128.5 km2,"5,387/sq mi","2,080/km2"
77,Durham, North Carolina,267743,228330,0.1726,109.8 sq mi,284.4 km2,"2,395/sq mi",925/km2
78,Fort Wayne, Indiana,265904,253691,0.0481,110.6 sq mi,286.5 km2,"2,391/sq mi",923/km2
79,St. Petersburg, Florida,263255,244769,0.0755,61.8 sq mi,160.1 km2,"4,223/sq mi","1,631/km2"
80,Laredo, Texas,260654,236091,0.104,101.1 sq mi,261.8 km2,"2,544/sq mi",982/km2
